shard 3/4: 75 samples, threads=8
device=cpu
[1] native_p002_s1011 clip_i=drift clip_t=drift dino=correct
[2] routed_p002_s1011 clip_i=drift clip_t=drift dino=correct
[3] uniform_p002_s1011 clip_i=drift clip_t=drift dino=correct
[4] native_p003_s1012 clip_i=drift clip_t=drift dino=drift
[5] routed_p003_s1012 clip_i=drift clip_t=correct dino=drift
[6] uniform_p003_s1012 clip_i=drift clip_t=correct dino=drift
[7] native_p004_s1013 clip_i=drift clip_t=correct dino=correct
[8] routed_p004_s1013 clip_i=correct clip_t=drift dino=correct
[9] uniform_p004_s1013 clip_i=correct clip_t=correct dino=correct
[10] native_p006_s1011 clip_i=drift clip_t=drift dino=drift
[11] native_p007_s1012 clip_i=drift clip_t=drift dino=correct
[12] native_p008_s1013 clip_i=correct clip_t=drift dino=drift
[13] routed_p008_s1013 clip_i=correct clip_t=drift dino=correct
[14] uniform_p008_s1013 clip_i=correct clip_t=drift dino=correct
[15] native_p010_s1011 clip_i=drift clip_t=drift dino=drift
[16] routed_p010_s1011 clip_i=drift clip_t=correct dino=correct
[17] uniform_p010_s1011 clip_i=drift clip_t=correct dino=correct
[18] native_p011_s1012 clip_i=correct clip_t=correct dino=correct
[19] routed_p011_s1012 clip_i=correct clip_t=drift dino=drift
[20] uniform_p011_s1012 clip_i=correct clip_t=correct dino=correct
[21] native_p012_s1013 clip_i=drift clip_t=drift dino=drift
[22] routed_p012_s1013 clip_i=correct clip_t=drift dino=correct
[23] uniform_p012_s1013 clip_i=drift clip_t=drift dino=correct
[24] native_p014_s1011 clip_i=drift clip_t=drift dino=drift
[25] routed_p014_s1011 clip_i=drift clip_t=drift dino=drift
[26] uniform_p014_s1011 clip_i=drift clip_t=drift dino=drift
[27] native_p015_s1012 clip_i=drift clip_t=correct dino=drift
[28] routed_p015_s1012 clip_i=correct clip_t=drift dino=drift
[29] uniform_p015_s1012 clip_i=correct clip_t=drift dino=drift
[30] native_p016_s1013 clip_i=drift clip_t=drift dino=drift
[31] routed_p016_s1013 clip_i=correct clip_t=correct dino=correct
[32] uniform_p016_s1013 clip_i=drift clip_t=drift dino=drift
[33] native_p018_s1011 clip_i=drift clip_t=drift dino=drift
[34] routed_p018_s1011 clip_i=correct clip_t=correct dino=correct
[35] uniform_p018_s1011 clip_i=drift clip_t=drift dino=correct
[36] native_p019_s1012 clip_i=drift clip_t=drift dino=drift
[37] routed_p019_s1012 clip_i=correct clip_t=drift dino=correct
[38] uniform_p019_s1012 clip_i=drift clip_t=drift dino=drift
[39] native_p020_s1013 clip_i=drift clip_t=drift dino=correct
[40] routed_p020_s1013 clip_i=drift clip_t=correct dino=drift
[41] uniform_p020_s1013 clip_i=correct clip_t=correct dino=correct
[42] native_p022_s1011 clip_i=correct clip_t=correct dino=correct
[43] routed_p022_s1011 clip_i=correct clip_t=correct dino=correct
[44] uniform_p022_s1011 clip_i=correct clip_t=correct dino=correct
[45] native_p023_s1012 clip_i=correct clip_t=drift dino=correct
[46] routed_p023_s1012 clip_i=correct clip_t=correct dino=correct
[47] uniform_p023_s1012 clip_i=correct clip_t=correct dino=correct
[48] native_p024_s1013 clip_i=drift clip_t=drift dino=correct
[49] routed_p024_s1013 clip_i=drift clip_t=correct dino=correct
[50] uniform_p024_s1013 clip_i=drift clip_t=correct dino=correct
[51] native_p026_s1011 clip_i=drift clip_t=drift dino=drift
[52] routed_p026_s1011 clip_i=drift clip_t=correct dino=drift
[53] uniform_p026_s1011 clip_i=drift clip_t=correct dino=drift
[54] native_p027_s1012 clip_i=correct clip_t=correct dino=correct
[55] routed_p027_s1012 clip_i=correct clip_t=correct dino=correct
[56] uniform_p027_s1012 clip_i=correct clip_t=correct dino=correct
[57] native_p028_s1013 clip_i=drift clip_t=drift dino=drift
[58] routed_p028_s1013 clip_i=drift clip_t=drift dino=drift
[59] uniform_p028_s1013 clip_i=correct clip_t=drift dino=drift
[60] native_p030_s1011 clip_i=drift clip_t=drift dino=drift
[61] routed_p030_s1011 clip_i=correct clip_t=drift dino=drift
[62] uniform_p030_s1011 clip_i=drift clip_t=drift dino=drift
[63] native_p031_s1012 clip_i=drift clip_t=drift dino=drift
[64] routed_p031_s1012 clip_i=correct clip_t=drift dino=drift
[65] uniform_p031_s1012 clip_i=correct clip_t=correct dino=drift
[66] native_p032_s1013 clip_i=drift clip_t=drift dino=drift
[67] routed_p032_s1013 clip_i=correct clip_t=correct dino=correct
[68] uniform_p032_s1013 clip_i=drift clip_t=correct dino=correct
[69] native_p034_s1011 clip_i=correct clip_t=correct dino=drift
[70] routed_p034_s1011 clip_i=correct clip_t=correct dino=correct
[71] uniform_p034_s1011 clip_i=correct clip_t=correct dino=correct
[72] native_p035_s1012 clip_i=correct clip_t=correct dino=drift
[73] routed_p035_s1012 clip_i=drift clip_t=drift dino=drift
[74] uniform_p035_s1012 clip_i=correct clip_t=correct dino=correct
[75] native_p036_s1013 clip_i=drift clip_t=drift dino=drift
[76] routed_p036_s1013 clip_i=correct clip_t=drift dino=drift
[77] uniform_p036_s1013 clip_i=correct clip_t=drift dino=drift
[78] native_p038_s1011 clip_i=correct clip_t=correct dino=drift
[79] routed_p038_s1011 clip_i=correct clip_t=correct dino=drift
[80] uniform_p038_s1011 clip_i=correct clip_t=correct dino=drift
[81] native_p039_s1012 clip_i=drift clip_t=correct dino=correct
[82] routed_p039_s1012 clip_i=drift clip_t=correct dino=correct
[83] uniform_p039_s1012 clip_i=drift clip_t=correct dino=correct
[84] native_p040_s1013 clip_i=drift clip_t=drift dino=drift
