shard 2/4: 75 samples, threads=8
device=cpu
[1] native_p001_s1013 clip_i=drift clip_t=drift dino=drift
[2] routed_p001_s1013 clip_i=drift clip_t=drift dino=drift
[3] uniform_p001_s1013 clip_i=drift clip_t=drift dino=drift
[4] native_p003_s1011 clip_i=drift clip_t=drift dino=correct
[5] routed_p003_s1011 clip_i=correct clip_t=drift dino=correct
[6] uniform_p003_s1011 clip_i=correct clip_t=correct dino=correct
[7] native_p004_s1012 clip_i=drift clip_t=correct dino=drift
[8] routed_p004_s1012 clip_i=drift clip_t=correct dino=drift
[9] uniform_p004_s1012 clip_i=drift clip_t=correct dino=drift
[10] native_p005_s1013 clip_i=drift clip_t=drift dino=drift
[11] routed_p005_s1013 clip_i=drift clip_t=correct dino=correct
[12] uniform_p005_s1013 clip_i=drift clip_t=correct dino=correct
[13] native_p007_s1011 clip_i=correct clip_t=correct dino=drift
[14] routed_p007_s1011 clip_i=correct clip_t=correct dino=correct
[15] uniform_p007_s1011 clip_i=correct clip_t=correct dino=correct
[16] native_p008_s1012 clip_i=drift clip_t=drift dino=drift
[17] routed_p008_s1012 clip_i=drift clip_t=correct dino=drift
[18] uniform_p008_s1012 clip_i=drift clip_t=drift dino=drift
[19] native_p009_s1013 clip_i=drift clip_t=drift dino=drift
[20] routed_p009_s1013 clip_i=correct clip_t=correct dino=correct
[21] uniform_p009_s1013 clip_i=correct clip_t=correct dino=correct
[22] native_p011_s1011 clip_i=correct clip_t=drift dino=drift
[23] routed_p011_s1011 clip_i=correct clip_t=drift dino=correct
[24] uniform_p011_s1011 clip_i=correct clip_t=drift dino=correct
[25] native_p012_s1012 clip_i=drift clip_t=drift dino=drift
[26] routed_p012_s1012 clip_i=drift clip_t=correct dino=drift
[27] uniform_p012_s1012 clip_i=drift clip_t=drift dino=drift
[28] native_p013_s1013 clip_i=correct clip_t=drift dino=correct
[29] routed_p013_s1013 clip_i=correct clip_t=correct dino=correct
[30] uniform_p013_s1013 clip_i=correct clip_t=correct dino=correct
[31] native_p015_s1011 clip_i=drift clip_t=drift dino=drift
[32] routed_p015_s1011 clip_i=correct clip_t=drift dino=correct
[33] uniform_p015_s1011 clip_i=correct clip_t=drift dino=correct
[34] native_p016_s1012 clip_i=drift clip_t=drift dino=correct
[35] routed_p016_s1012 clip_i=drift clip_t=drift dino=correct
[36] uniform_p016_s1012 clip_i=drift clip_t=drift dino=correct
[37] native_p017_s1013 clip_i=drift clip_t=drift dino=correct
[38] native_p019_s1011 clip_i=drift clip_t=drift dino=drift
[39] routed_p019_s1011 clip_i=drift clip_t=correct dino=correct
[40] uniform_p019_s1011 clip_i=correct clip_t=correct dino=correct
[41] native_p020_s1012 clip_i=drift clip_t=drift dino=drift
[42] routed_p020_s1012 clip_i=correct clip_t=drift dino=correct
[43] uniform_p020_s1012 clip_i=correct clip_t=correct dino=drift
[44] native_p021_s1013 clip_i=drift clip_t=drift dino=drift
[45] routed_p021_s1013 clip_i=drift clip_t=correct dino=drift
[46] uniform_p021_s1013 clip_i=drift clip_t=correct dino=drift
[47] native_p023_s1011 clip_i=drift clip_t=drift dino=drift
[48] routed_p023_s1011 clip_i=correct clip_t=correct dino=correct
[49] uniform_p023_s1011 clip_i=drift clip_t=correct dino=drift
[50] native_p024_s1012 clip_i=drift clip_t=drift dino=drift
[51] routed_p024_s1012 clip_i=drift clip_t=correct dino=correct
[52] uniform_p024_s1012 clip_i=drift clip_t=correct dino=correct
[53] native_p025_s1013 clip_i=correct clip_t=drift dino=drift
[54] routed_p025_s1013 clip_i=drift clip_t=correct dino=drift
[55] uniform_p025_s1013 clip_i=correct clip_t=drift dino=drift
[56] native_p027_s1011 clip_i=correct clip_t=drift dino=correct
[57] routed_p027_s1011 clip_i=correct clip_t=drift dino=correct
[58] uniform_p027_s1011 clip_i=correct clip_t=correct dino=correct
[59] native_p028_s1012 clip_i=drift clip_t=drift dino=drift
[60] routed_p028_s1012 clip_i=drift clip_t=drift dino=drift
[61] uniform_p028_s1012 clip_i=drift clip_t=drift dino=drift
[62] native_p029_s1013 clip_i=drift clip_t=drift dino=correct
[63] routed_p029_s1013 clip_i=drift clip_t=drift dino=drift
[64] uniform_p029_s1013 clip_i=drift clip_t=drift dino=correct
[65] native_p031_s1011 clip_i=drift clip_t=drift dino=drift
[66] native_p032_s1012 clip_i=drift clip_t=drift dino=correct
[67] routed_p032_s1012 clip_i=drift clip_t=correct dino=correct
[68] uniform_p032_s1012 clip_i=drift clip_t=drift dino=correct
[69] native_p033_s1013 clip_i=correct clip_t=drift dino=drift
[70] routed_p033_s1013 clip_i=drift clip_t=correct dino=drift
[71] uniform_p033_s1013 clip_i=drift clip_t=correct dino=drift
