shard 1/4: 75 samples, threads=8
device=cpu
[1] native_p001_s1012 clip_i=drift clip_t=drift dino=drift
[2] routed_p001_s1012 clip_i=correct clip_t=correct dino=drift
[3] uniform_p001_s1012 clip_i=correct clip_t=correct dino=drift
[4] native_p002_s1013 clip_i=drift clip_t=drift dino=correct
[5] routed_p002_s1013 clip_i=drift clip_t=drift dino=correct
[6] uniform_p002_s1013 clip_i=drift clip_t=drift dino=correct
[7] native_p004_s1011 clip_i=drift clip_t=drift dino=drift
[8] routed_p004_s1011 clip_i=drift clip_t=correct dino=drift
[9] uniform_p004_s1011 clip_i=correct clip_t=correct dino=correct
[10] native_p005_s1012 clip_i=drift clip_t=drift dino=drift
[11] routed_p005_s1012 clip_i=drift clip_t=correct dino=drift
[12] uniform_p005_s1012 clip_i=drift clip_t=correct dino=drift
[13] native_p006_s1013 clip_i=correct clip_t=drift dino=correct
[14] native_p008_s1011 clip_i=drift clip_t=drift dino=drift
[15] routed_p008_s1011 clip_i=correct clip_t=drift dino=correct
[16] uniform_p008_s1011 clip_i=correct clip_t=drift dino=correct
[17] native_p009_s1012 clip_i=correct clip_t=drift dino=correct
[18] routed_p009_s1012 clip_i=correct clip_t=correct dino=correct
[19] uniform_p009_s1012 clip_i=correct clip_t=correct dino=correct
[20] native_p010_s1013 clip_i=drift clip_t=drift dino=drift
[21] routed_p010_s1013 clip_i=drift clip_t=drift dino=drift
[22] uniform_p010_s1013 clip_i=drift clip_t=drift dino=drift
[23] native_p012_s1011 clip_i=drift clip_t=drift dino=drift
[24] routed_p012_s1011 clip_i=correct clip_t=drift dino=drift
[25] uniform_p012_s1011 clip_i=correct clip_t=drift dino=correct
[26] native_p013_s1012 clip_i=drift clip_t=correct dino=correct
[27] routed_p013_s1012 clip_i=correct clip_t=correct dino=correct
[28] uniform_p013_s1012 clip_i=correct clip_t=correct dino=correct
[29] native_p014_s1013 clip_i=drift clip_t=drift dino=drift
[30] routed_p014_s1013 clip_i=drift clip_t=drift dino=drift
[31] uniform_p014_s1013 clip_i=drift clip_t=drift dino=drift
[32] native_p016_s1011 clip_i=drift clip_t=drift dino=drift
[33] routed_p016_s1011 clip_i=drift clip_t=correct dino=correct
[34] uniform_p016_s1011 clip_i=drift clip_t=drift dino=correct
[35] native_p017_s1012 clip_i=drift clip_t=drift dino=correct
[36] routed_p017_s1012 clip_i=correct clip_t=drift dino=drift
[37] uniform_p017_s1012 clip_i=correct clip_t=drift dino=drift
[38] native_p018_s1013 clip_i=drift clip_t=drift dino=drift
[39] routed_p018_s1013 clip_i=drift clip_t=drift dino=drift
[40] uniform_p018_s1013 clip_i=correct clip_t=correct dino=drift
[41] native_p020_s1011 clip_i=drift clip_t=drift dino=drift
[42] routed_p020_s1011 clip_i=drift clip_t=drift dino=drift
[43] uniform_p020_s1011 clip_i=drift clip_t=correct dino=correct
[44] native_p021_s1012 clip_i=drift clip_t=correct dino=drift
[45] routed_p021_s1012 clip_i=drift clip_t=drift dino=correct
[46] uniform_p021_s1012 clip_i=drift clip_t=correct dino=drift
[47] native_p022_s1013 clip_i=correct clip_t=correct dino=correct
[48] routed_p022_s1013 clip_i=correct clip_t=correct dino=correct
[49] uniform_p022_s1013 clip_i=correct clip_t=correct dino=correct
[50] native_p024_s1011 clip_i=drift clip_t=drift dino=correct
[51] routed_p024_s1011 clip_i=drift clip_t=correct dino=drift
[52] uniform_p024_s1011 clip_i=drift clip_t=drift dino=drift
[53] native_p025_s1012 clip_i=drift clip_t=drift dino=drift
[54] routed_p025_s1012 clip_i=drift clip_t=correct dino=correct
[55] uniform_p025_s1012 clip_i=drift clip_t=correct dino=correct
[56] native_p026_s1013 clip_i=drift clip_t=drift dino=correct
[57] routed_p026_s1013 clip_i=drift clip_t=drift dino=drift
[58] uniform_p026_s1013 clip_i=drift clip_t=drift dino=drift
[59] native_p028_s1011 clip_i=drift clip_t=drift dino=drift
[60] routed_p028_s1011 clip_i=drift clip_t=drift dino=drift
[61] uniform_p028_s1011 clip_i=drift clip_t=correct dino=correct
[62] native_p029_s1012 clip_i=drift clip_t=drift dino=drift
[63] routed_p029_s1012 clip_i=drift clip_t=drift dino=drift
[64] uniform_p029_s1012 clip_i=drift clip_t=correct dino=correct
[65] native_p030_s1013 clip_i=drift clip_t=drift dino=drift
[66] routed_p030_s1013 clip_i=correct clip_t=drift dino=drift
